,image_name,Good,Usable,Reject
0,10_left,0.043784816,0.8895888,0.098718695
1,10_right,0.028570794,0.13502857,0.8482237
2,13_left,0.98759115,0.009964821,0.008266417
3,13_right,0.98759055,0.009964351,0.008266874
4,15_left,0.60745233,0.36118332,0.020760648
5,15_right,0.98085195,0.015464628,0.0094331745
6,16_left,0.04408183,0.9494273,0.050784446
7,16_right,0.9702709,0.025555106,0.006824401
8,17_left,0.98759127,0.009964849,0.008266386
9,17_right,0.98759115,0.009964773,0.008266459
10,19_left,0.047960848,0.9349248,0.057065018
11,19_right,0.30749294,0.59420526,0.047205213
12,20_left,0.9875873,0.009968556,0.0082661
13,20_right,0.98759127,0.0099648535,0.008266386
14,21_left,0.025420645,0.04448191,0.94810617
15,21_right,0.1271259,0.88155365,0.03561207
16,22_left,0.96849847,0.02639391,0.0099020135
17,22_right,0.9767602,0.02154366,0.006091811
18,23_left,0.91039234,0.07551515,0.013407141
19,23_right,0.026999736,0.7305307,0.32651615
20,25_left,0.053567227,0.7662696,0.15099558
21,25_right,0.06383467,0.171186,0.74521345
22,30_left,0.98759127,0.009964858,0.008266381
23,30_right,0.98178977,0.017221637,0.005675828
24,31_left,0.7855059,0.18152101,0.024029575
25,31_right,0.9836633,0.012674786,0.0095291985
26,33_left,0.98758847,0.009967149,0.008266761
27,33_right,0.9873263,0.010123165,0.008375997
28,36_left,0.06263058,0.9131649,0.059965245
29,36_right,0.026096163,0.0690416,0.9231129
30,40_left,0.98759127,0.0099648535,0.008266386
31,40_right,0.9875152,0.010040466,0.008240434
32,41_left,0.98158413,0.014757233,0.009805288
33,41_right,0.050160915,0.94113505,0.050669752
34,42_left,0.04376369,0.9500515,0.050528444
35,42_right,0.043427877,0.95041317,0.05070468
36,46_left,0.98759127,0.00996484,0.008266397
37,46_right,0.98759127,0.0099648535,0.008266386
38,47_left,0.98743224,0.010057837,0.008317985
39,47_right,0.04692816,0.8800045,0.100706704
40,49_left,0.04878673,0.9157027,0.07708786
41,49_right,0.033401947,0.5949162,0.42469138
