,image_name,Good,Usable,Reject
0,IDRiD_001,0.9837441,0.013206146,0.008849483
1,IDRiD_002,0.975256,0.01846449,0.0131465
2,IDRiD_003,0.9873169,0.010170791,0.008357304
3,IDRiD_004,0.93943715,0.0467557,0.01614972
4,IDRiD_005,0.5614943,0.34588143,0.058789957
5,IDRiD_006,0.9875382,0.010000854,0.0082798
6,IDRiD_007,0.031043896,0.12831748,0.8298685
7,IDRiD_008,0.29201096,0.31119105,0.18081214
8,IDRiD_009,0.098206,0.4415241,0.3342066
9,IDRiD_010,0.9875257,0.009963503,0.008302742
10,IDRiD_011,0.9875074,0.010031038,0.008284258
11,IDRiD_012,0.9874549,0.010097939,0.008243713
12,IDRiD_013,0.98745614,0.010089791,0.008263462
13,IDRiD_014,0.2458758,0.4732571,0.10501476
14,IDRiD_015,0.7580654,0.18953905,0.04623232
15,IDRiD_016,0.9396461,0.013307223,0.041909706
16,IDRiD_017,0.43328682,0.30047393,0.15269889
17,IDRiD_018,0.05060149,0.913268,0.0701964
18,IDRiD_019,0.11729051,0.6254454,0.141537
19,IDRiD_020,0.98758954,0.00996642,0.008265846
20,IDRiD_022,0.9031949,0.07176282,0.026324157
21,IDRiD_023,0.9875908,0.00996484,0.008266729
22,IDRiD_024,0.987573,0.0099809505,0.008265288
23,IDRiD_025,0.11040298,0.87728906,0.03974493
24,IDRiD_026,0.058095384,0.86916995,0.086939804
25,IDRiD_027,0.98758686,0.009965112,0.008269063
26,IDRiD_028,0.9875552,0.009988576,0.008270565
27,IDRiD_029,0.9705273,0.00989827,0.02382946
28,IDRiD_030,0.025424756,0.04784834,0.94352055
29,IDRiD_031,0.026867965,0.039901003,0.9493521
30,IDRiD_032,0.98673797,0.010690419,0.008358023
31,IDRiD_033,0.9030601,0.03156146,0.059330303
32,IDRiD_034,0.9851119,0.011447906,0.008862035
33,IDRiD_035,0.050205518,0.15934604,0.7468702
34,IDRiD_037,0.98758626,0.009966726,0.008269513
35,IDRiD_038,0.9875038,0.010036707,0.0082840035
36,IDRiD_039,0.9874291,0.010054837,0.008365765
37,IDRiD_040,0.9875901,0.009965347,0.008266956
38,IDRiD_041,0.9873575,0.010031454,0.008381523
39,IDRiD_042,0.98758763,0.009966062,0.008267406
40,IDRiD_043,0.986188,0.010890918,0.009005322
41,IDRiD_044,0.9875288,0.010015797,0.008276881
42,IDRiD_045,0.98757964,0.009975411,0.008266026
43,IDRiD_046,0.9875552,0.009982463,0.008278113
44,IDRiD_047,0.77735335,0.083358325,0.056708034
45,IDRiD_048,0.054033864,0.9391559,0.046116915
46,IDRiD_049,0.9875794,0.009967074,0.008273965
47,IDRiD_050,0.9875173,0.010019557,0.008293045
48,IDRiD_051,0.98740596,0.010103221,0.008330959
49,IDRiD_052,0.98354846,0.013730273,0.00798279
50,IDRiD_053,0.9456069,0.042443346,0.016045077
51,IDRiD_054,0.9874521,0.010101309,0.008227226
52,IDRiD_055,0.081337094,0.9090507,0.040015128
53,IDRiD_056,0.060761314,0.90810597,0.06399936
54,IDRiD_057,0.98758197,0.009973424,0.008264826
55,IDRiD_058,0.97413504,0.021692278,0.009390279
